Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
19052584,69.46,PPB100,ST,J,SKRUVSATS TAKSTEGE BÄRANDEUNDERLAGSTAK ( 470211P ) CW,0,N,J,N
19052585,189.52,PPB100,ST,N,ADAPTERSATS TAKSTEGE BÄRLÄKTZM ( 470212P ) CW,0,N,J,N
19052586,266.93,PPB100,ST,N,ADAPTERSATS SKYDDSRÄCKETAKSTEGE ZM ( 470230P ) CW,0,N,J,N
19052588,1165.55,PPB100,ST,J,TAK/FASADSTEGE 1.5M ZM( 470270 ) CW,0,N,J,N
19052589,138.62,PPB100,ST,J,SKARVSATS TAK/FASADSTEGE ZM( 470285P ) CW,0,N,J,N
19052591,544.17,PPB100,ST,J,STAGSATS HANDLEDARE JUSTERBARZM ( 490025 ) CW,0,N,J,N
19052592,2239.41,PPB100,ST,N,LÅSBAR LUCKA RYGGSKYDD INK LÅSZM ( 490505 ) CW,0,N,J,N
19052593,373.52,PPB100,ST,J,RYGGSKYDDSBYGEL FASADSTEGEØ650MM ZM ( 490506 ) CW,0,N,J,N
19052594,736.85,PPB100,ST,J,STÅNDARE SKYDDSRÄCKE GB/TS1.1M T-RÖD ( 100318 ) CW,0,N,J,N
19052595,177.07,PPB100,ST,J,INFÄSTNINGSSATS TS/GBI TAKF PROF T-RÖD ( 510130P ),0,N,J,N
19052596,444.21,PPB100,ST,J,GLIDSKYDD TAKSTEGE T-RÖD( 570112 ) CW,0,N,J,N
19052598,138.62,PPB100,ST,J,SKARVSATS TAK/FASADSTEGE T-RÖD( 570285P ) CW,0,N,J,N
19052600,544.17,PPB100,ST,N,STAGSATS HANDLEDARE JUSTERBART-RÖD ( 590025 ) CW,0,N,J,N
19052601,373.52,PPB100,ST,N,RYGGSKYDDSBYGEL FASADSTEGEØ650MM T-RÖD ( 590506 ) CW,0,N,J,N
19052602,736.85,PPB100,ST,J,STÅNDARE SKYDDSRÄCKE GB/TS1.1M SVART ( 100319 ) CW,0,N,J,N
19052603,177.07,PPB100,ST,J,INFÄSTNINGSSATS TS/GBI TAKF PROF SVART ( 610130P ),0,N,J,N
19052604,266.93,PPB100,ST,N,ADAPTERSATS SKYDDSRÄCKETAKSTEGE SVART ( 670230P ) CW,0,N,J,N
19052606,138.62,PPB100,ST,J,SKARVSATS TAK/FASADSTEGE SVART( 670285P ) CW,0,N,J,N
19052608,544.17,PPB100,ST,N,STAGSATS HANDLEDARE JUSTERBARSVART ( 690025 ) CW,0,N,J,N
19052609,373.52,PPB100,ST,N,RYGGSKYDDSBYGEL FASADSTEGEØ650MM SVART ( 690506 ) CW,0,N,J,N
19052610,896.99,PPB100,ST,N,KONSOLSATS FASADSTEGE A-600ZM ( 410043 ) CW,0,N,J,N
19052612,896.99,PPB100,ST,N,KONSOLSATS FASADSTEGE A-600T-RÖD ( 510043 ) CW,0,N,J,N
19052613,1123.02,PPB100,ST,N,KONSOLSATS FASADSTEGE A-800T-RÖD ( 510044 ) CW,0,N,J,N
19052615,896.99,PPB100,ST,N,KONSOLSATS FASADSTEGE A-600SVART ( 610043 ) CW,0,N,J,N
