Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
72145103,13450,BG0250,ST,N,BÄNKBORD ROBUST MED RYGG180 CM SVART KOMPOSIT,0,N,N,N
72145105,12150,BG0250,ST,N,BÄNKBORD ROBUST 180 CM BRUNKOMPOSIT,0,N,N,N
72145107,12150,BG0250,ST,N,BÄNKBORD ROBUST 180 CM SVARTKOMPOSIT,0,N,N,N
72145109,13450,BG0250,ST,N,BÄNKBORD ROBUST MED RYGG180 CM GRÅ KOMPOSIT,0,N,N,N
72952137,14700,BA0120,ST,N,KYL/FRYS KGN39VWEQ 203 CM VITHÖGER BOSCH,0,N,N,N
73554415,254,BE0100,ST,N,MATLÅDA 900 ML MIKROUGNSSÄKERROSTFRITT STÅL BRIV,0,N,N,N
73554419,232,BE0100,ST,N,MATLÅDA 650 ML MIKROUGNSSÄKERROSTFRITT STÅL RUND BRIV,0,N,N,N
73554421,275,BE0100,ST,N,MATLÅDA 1200 ML MIKROUGNSSÄKERROSTFRITT STÅL BRIV,0,N,N,N
73554427,260,BG0295,ST,N,JAKTKNIV 225 MM BLACK HAWKSS420 SVART BRIV,0,N,N,N
73554435,260,BG0280,ST,N,GASBRÄNNARE MINI 3000EFFEKT 3000 W BRIV,0,N,N,N
73554452,275,BE0100,ST,N,MATLÅDA 950 ML MIKROUGNSSÄKERROSTFRITT STÅL RUND BRIV,0,N,N,N
73556636,151,BG0190,ST,N,STOLPSKO GALVAD 71X71X70 MMJABO,0,N,N,N
73556638,182,BG0190,ST,N,STOLPSKO SVART 71X71X70 MMJABO,0,N,N,N
73556640,235,BG0190,ST,N,STOLPSKO SVART 96X96X70 MMJABO,0,N,N,N
73556646,219,BG0190,ST,N,STOLPSKO GALVAD 71X71X150 MMJABO,0,N,N,N
73556650,194,BG0190,ST,N,STOLPSKO GALVAD 96X96X70 MMJABO,0,N,N,N
73556652,255,BG0190,ST,N,STOLPLOCK ARNÖ 180X180X35 MMGRUNDMÅLAD VIT JABO,0,N,N,N
73556656,145,BG0190,ST,N,SPJÄLA FASAD ARNÖ 100X900 MMVIT GRUNDMÅLAD JABO,0,N,N,N
73556661,2675,BG0200,ST,N,VÄRMEPUMPSSKYDD SVARTALUMINIUM JABO,0,N,N,N
73556664,1275,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1480X70X70MM SVART MELLAN JABO,0,N,N,N
73556668,235,BG0190,ST,N,STOLPSKO VIT 96X96X150 MMJABO,0,N,N,N
73556672,1275,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1480X70X70MM SVART START/AVSLUT JABO,0,N,N,N
