Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
43872548,1020,POG10B,ST,N,DISTANSSKÅL ULTIMA 25-48UDP25-48 ARMAFIX ULTIMA,24,N,N,N
43872564,1320,POG10B,ST,N,DISTANSSKÅL ULTIMA 25-60/64UDP25-60/64 ARMAFIX ULTIMA,20,N,N,N
43872576,1550,POG10B,ST,N,DISTANSSKÅL ULTIMA 25-76/80UDP25-76/80 ARMAFIX ULTIMA,16,N,N,N
43872589,1840,POG10B,ST,N,DISTANSSKÅL ULTIMA 25-89UDP25-89 ARMAFIX ULTIMA,12,N,N,N
43906010,589,POG20A,M,N,AF/ARMAFLEX AF-6-010RÖRISOLERING 2M/ST,40,N,N,N
43906054,1425,POG20A,M,N,AF/ARMAFLEX AF-6-054RÖRISOLERING 2M/ST,12,N,N,N
43906133,3430,POG20A,M,N,AF/ARMAFLEX AF-6-133RÖRISOLERING 2M/ST,4,N,N,N
43906140,3800,POG20A,M,N,AF/ARMAFLEX AF-6-140RÖRISOLERING 2M/ST,4,N,N,N
43906160,4430,POG20A,M,N,AF/ARMAFLEX AF-6-160RÖRISOLERING 2M/ST,4,N,N,N
43906168,4650,POG20A,M,N,AF/ARMAFLEX AF-6-168RÖRISOLERING 2M/ST,4,N,N,N
43913015,332,POG20A,M,N,AF/ARMAFLEX AF-3-015-AFÖRLIMMAD RÖRISOLERING 2M/ST,108,N,N,N
43913018,345,POG20A,M,N,AF/ARMAFLEX AF-3-018-AFÖRLIMMAD RÖRISOLERING 2M/ST,96,N,N,N
43913022,382,POG20A,M,N,AF/ARMAFLEX AF-3-022-AFÖRLIMMAD RÖRISOLERING 2M/ST,84,N,N,N
43913028,439,POG20A,M,N,AF/ARMAFLEX AF-3-028-AFÖRLIMMAD RÖRISOLERING 2M/ST,64,N,N,N
43913035,503,POG20A,M,N,AF/ARMAFLEX AF-3-035-AFÖRLIMMAD RÖRISOLERING 2M/ST,46,N,N,N
43913042,561,POG20A,M,N,AF/ARMAFLEX AF-3-042-AFÖRLIMMAD RÖRISOLERING 2M/ST,40,N,N,N
