Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
420765,480,CD190B,RL,J,"BASTUFOLIE SVART1200X0,08MM 25M/RLE",0,N,N,N
420767,1770,CX4951,ST,J,LÅSKÄTTING A-COLLECTION KL31500MM,0,N,N,N
420768,48.5,CX578A,ST,J,RESERVBORSTE TOALETTBORTSTÄLLSTICKLINE/BASIC,0,N,N,N
420769,377,CX3480,ST,J,NYCKELHÅLLARE ROLL-BACKM CLIPS O ÅTERFJÄDRANDE TRÅD,0,N,N,N
420770,374,CX3481,ST,J,NYCKELHÅLLARE ROLL-BACKM ÅTERFJÄDRANDE TRÅD 1.2MTR,0,N,N,N
420771,309,CX3481,ST,J,NYCKELHÅLLARE ROLL-BACKM STÅLKEDJA 0.6M,0,N,N,N
420772,183,CX3481,ST,J,ID-KORTSHÅLLARE ROLL-BACKÅTERFJÄDRANDE NYLONTRÅD 0.8M,0,N,N,N
420773,369,CX515B,FRP,J,TRYCKE HOPPE NEW YORK F155-65MM ALU,0,N,N,N
420774,397,CX5150,FRP,J,TRYCKE HOPPE NEW YORK F137-42MM INKL NYCKELSKYLT ALU,0,N,N,N
420775,662,CX5150,FRP,J,TRYCKE HOPPE NEW YORK F137-42MM INKL WC-BEHÖR ALU,0,N,N,N
420782,3300,CX215B,ST,N,KROKLIST JT-01033-KROK 520X90X16MM,0,N,N,N
420786,1195,CX6200,ST,J,DRAPERISKENA 900X900MM HELBOCKKOMPL BYGGPACK SILVER,0,N,N,N
420789,103,CX3150,ST,N,"SKYLT ""GAS UNDER TRYCK""33-0715 148X210MM DEKAL",0,N,N,N
420790,103,CX3150,ST,J,"SKYLT ""BRANDFARLIG""33-0815 148X210MM DEKAL",0,N,N,N
420792,6575,CX540A,ST,J,BELYSN KUNGSÖR 638000800MM LED FÖR SKÅP EMIR,0,N,N,N
45471743,345,CX220B,ST,J,KROK ESSEM MAMA SVARTSVART BYGGPACK,0,N,N,N
45471756,345,CX220B,ST,J,KROK ESSEM MAMA VITVIT BYGGPACK,0,N,N,N
45471759,345,CX220B,ST,J,KROK ESSEM MAMA ALUALUMINIUM BYGGPACK,0,N,N,N
459005,9000,CX545B,ST,N,BELYSNING LED 560 MM FAGERSTAHYGIEN T SKÅP DIAMANT,0,N,N,N
459025,646,CE104A,ST,J,TAKSTOS UTV. ALUMINUMFOLIE100-125MM,0,N,N,N
459026,751,CE104B,ST,N,TAKSTOS UTV. ALUMINIUMFOLIE150-165MM F4,0,N,N,N
459027,451,CE104B,ST,N,TAKSTOS PAPPTAK NR 112-38MM,0,N,N,N
459028,454,CE104B,ST,J,TAKSTOS PAPPTAK NR 250-60MM,0,N,N,N
459029,450,CE104B,ST,J,TAKSTOS PAPPTAK NR 375-90MM,0,N,N,N
459030,460,CE104A,ST,N,TAKSTOS PAPPTAK NR 4110-125MM,0,N,N,N
459032,785,CE104B,ST,N,TAKSTOS PAPPTAK NR 5150-175MM,0,N,N,N
459040,380,CE104B,ST,J,TAKSTOS UTV. ALUMINIUMFOLIE50-70MM,0,N,N,N
459041,140,CE104B,ST,J,TAKSTOS UTV. ALUMINIUMFOLIE25-32MM,0,N,N,N
459044,473,CE104B,ST,J,TAKSTOS UTV. ALUMINUMFOLIE75-90MM,0,N,N,N
459047,221,CX385A,ST,N,CYLINDERRING ASSA TRIO 11-16MMN FÖR OVALCYLINDER F25,0,N,N,N
459048,232,CX385A,ST,N,CYLINDERRING ASSA TRIO 16-21MMN FÖR OVALCYLINDER F25,0,N,N,N
459055,138,CD1200,RL,J,ILLMOD TP600 15/3-7 MM8 M SVART,0,N,N,N
459056,225,CD1200,RL,N,ILLMOD TP600 20/3-15 MM3.3 M SVART,0,N,N,N
459057,385,CD1200,RL,J,ILLMOD TP600 20/10-18 MM4.5 M SVART,0,N,N,N
459059,77,CE121B,ST,N,RÄNNKROK 210/125MMSVART,0,N,N,N
459060,77,CE121B,ST,N,RÄNNKROK 210/125MMVIT,0,N,N,N
459062,72,CE121B,ST,N,RÄNNKROK 160/125MMVIT,0,N,N,N
459065,2155,CX205B,ST,J,HATTHYLLA ESSEM NOSTALGIEK/ALU L=1000 MM PÅBYGGNAD,0,N,N,N
459066,14850,CX5860,ST,J,SKÖTBORD ROBUST VITH780MM X B660MM,0,N,N,N
459067,3010,CX580A,ST,J,PAPPERSKORG 25 LKATRIN 900788 VIT METALL,0,N,N,N
459069,283,CX555B,ST,J,SPEGEL 300X600X4MMM SÄKERHETSFOLIE,0,N,N,N
459070,425,CX555B,ST,J,SPEGEL 300X900X4MMM SÄKERHETSFOLIE,0,N,N,N
459071,472,CX555B,ST,J,SPEGEL 300X1000X4MMM SÄKERHETSFOLIE,0,N,N,N
