Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
7050720,239,RP3510,STK,J,REDUCERING 1 5/8 X 1 3/8RÖR-RÖR U41-2622  9600,0,N,N,N
7050760,507,RP3510,STK,J,REDUCERING 2 1/8 X 1 3/8RÖR-RÖR U41-3422  9600,0,N,N,N
7050780,507,RP3510,STK,J,REDUCERING 2 1/8 X 1 5/8RÖR-RÖR U41-3426  9600,0,N,N,N
7050840,1150,RP3510,STK,N,REDUCERING 2 5/8 X 1 5/8RÖR-RÖR U41-4226  9600,0,N,N,N
7050860,1125,RP3510,STK,J,REDUCERING 2 5/8 X 2 1/8RÖR-RÖR U41-4234  9600,0,N,N,N
7051003,40,RP3510,ST,J,REDUCERING 3/8 X 1/4FITTING-RÖR U46-64 9600-2,0,N,N,N
7051020,55.5,RP3510,STK,J,REDUCERING 1/2 X 1/4FITTING-RÖR U46-84  9600-2,0,N,N,N
7051040,38.5,RP3510,STK,J,REDUCERING 1/2 X 3/8FITTING-RÖR U46-86 9600-2,0,N,N,N
7051060,48.5,RP3510,STK,J,REDUCERING 5/8 X 3/8FITTING-RÖR U46-106 9600-2,0,N,N,N
7051080,38,RP3510,STK,J,REDUCERING 5/8 X 1/2FITTING-RÖR U46-108  9600-2,0,N,N,N
7051100,129,RP3510,STK,J,REDUCERING 3/4 X 3/8FITTING-RÖR U46-1206 9600-2,0,N,N,N
7051120,123,RP3510,STK,J,REDUCERING 3/4 X 1/2FITTING-RÖR U46-1208 9600-2,0,N,N,N
7051140,49,RP3510,STK,J,REDUCERING 3/4 X 5/8FITTING-RÖR U46-1210  9600-2,0,N,N,N
7051160,90.5,RP3510,STK,J,REDUCERING 7/8 X 1/2FITTING-RÖR U46-1408 9600-2,0,N,N,N
7051180,53.5,RP3510,STK,J,REDUCERING 7/8 X 5/8FITTING-RÖR U46-1410  9600-2,0,N,N,N
7051200,70.5,RP3510,STK,J,REDUCERING 7/8 X 3/4FITTING-RÖR U46-1412 9600-2,0,N,N,N
7051240,97,RP3510,STK,J,REDUCERING 1 1/8 X 5/8FITTING-RÖR U46-1810 9600-2,0,N,N,N
7051260,97.5,RP3510,STK,J,REDUCERING 1 1/8 X 3/4FITTING-RÖR U46-1812  9600-2,0,N,N,N
7051280,88,RP3510,STK,J,REDUCERING 1 1/8 X 7/8FITTING-RÖR U46-1814  9600-2,0,N,N,N
