Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
6442684,9800,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1500-500FFZV HAGAB,0,N,N,N
6442685,11400,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1500-800FFZV HAGAB,0,N,N,N
6442686,11900,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1500-900FFZV HAGAB,0,N,N,N
6442687,16850,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-1500-1200FFZV HAGAB,0,N,N,N
6442688,18450,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-1500-1500FFZV HAGAB,0,N,N,N
6442689,20000,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-1500-1800FFZV HAGAB,0,N,N,N
6442690,9550,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1600-300FFZV HAGAB,0,N,N,N
6442691,10700,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1600-500FFZV HAGAB,0,N,N,N
6442692,11250,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1600-600FFZV HAGAB,0,N,N,N
6442693,12350,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1600-800FFZV HAGAB,0,N,N,N
6442694,19000,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-1600-1400FFZV HAGAB,0,N,N,N
6442695,20100,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-1600-1600FFZV HAGAB,0,N,N,N
6442696,12500,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1800-500FFZV HAGAB,0,N,N,N
6442697,23800,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-1800-1800FFZV HAGAB,0,N,N,N
6442698,14200,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-2000-500FFZV HAGAB,0,N,N,N
6442699,14850,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-2000-600FFZV HAGAB,0,N,N,N
6442700,15500,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-2000-700FFZV HAGAB,0,N,N,N
6442701,16150,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-2000-800FFZV HAGAB,0,N,N,N
6442702,17450,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-2000-1000FFZV HAGAB,0,N,N,N
6442703,23600,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-2000-1400FFZV HAGAB,0,N,N,N
6442704,24900,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-2000-1600FFZV HAGAB,0,N,N,N
6442716,5325,PNI85B,ST,N,BACKSTRÖMNINGSSK BASIC-4-200-1MÄTFUNK. HAGAB,0,N,N,N
6442717,6175,PNI85B,ST,N,BACKSTRÖMNINGSSK BASIC-4-250-2MÄTFUNK. HAGAB,0,N,N,N
6442718,8700,PNI85B,ST,N,BACKSTRÖMNINGSSK BASIC-4-315-3MÄTFUNK. HAGAB,0,N,N,N
6510804,25600,PNL15B,ST,N,TAKGENOMFÖRING TG 740-1200SYSTEMAIR,0,N,N,N
6510821,9675,PNL90B,ST,N,TAKHUV THS 160 PLAN RÖDSYSTEMAIR,0,N,N,N
6510963,8275,PNJ63B,ST,N,TRANSFORMATOR REU 5SYSTEMAIR,0,N,N,N
6510967,15500,PNJ63A,ST,N,TRANSFORMATOR RTRDU 2SYSTEMAIR,0,N,N,N
6511050,24700,PNL10A,ST,N,RADIALFLÄKT EX 140A-2(ATEX)SYSTEMAIR,0,N,N,N
6511052,23600,PNL10B,ST,N,RADIALFLÄKT EX 180A-4(ATEX)SYSTEMAIR,0,N,N,N
6511061,2000,PNJ63B,ST,N,MOTORSKYDDSBR .MSEX 0.63-1.0SYSTEMAIR,0,N,N,N
6511062,2030,PNJ63B,ST,N,MOTORSKYDDSBR. MSEX 1.0-1.6SYSTEMAIR,0,N,N,N
6511063,2070,PNJ63B,ST,N,MOTORSKYDDSBR. MSEX 2.5-4.0SYSTEMAIR,0,N,N,N
6511064,658,PNJ63B,ST,N,KAPSLING MSEX-KFÖR MOTORSKYDDSBR. SYSTEMAIR,0,N,N,N
6511165,45600,PNL10B,ST,N,KANALFLÄKT PRIO 450 3SYSTEMAIR,0,N,N,N
6511352,22200,PNL42B,ST,N,RÖKGASFLÄKT RS014-4-1EXODRAFT,0,N,N,N
6511353,30600,PNL42B,ST,N,RÖKGASFLÄKT RS016-4-1EXODRAFT,0,N,N,N
6511356,27100,PNL42B,ST,N,RÖKGASFLÄKT RSV014-4-1EXODRAFT,0,N,N,N
6511357,35400,PNL42B,ST,N,RÖKGASFLÄKT RSV016-4-1EXODRAFT,0,N,N,N
6511358,20500,PNL42B,ST,N,RÖKGASFLÄKT RSV160-4-1EXODRAFT,0,N,N,N
6511359,23300,PNL42B,ST,N,RÖKGASFLÄKT RSV200-4-1EXODRAFT,0,N,N,N
6511360,28200,PNL42B,ST,N,RÖKGASFLÄKT RSV250-4-1EXODRAFT,0,N,N,N
6511361,38200,PNL42B,ST,N,RÖKGASFLÄKT RSV315-4-1EXODRAFT,0,N,N,N
6511362,43800,PNL42B,ST,N,RÖKGASFLÄKT RSV400-4-1EXODRAFT,0,N,N,N
